epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,learning_rate
1,1.546402,0.33453,1.380587,0.392625,0.334797,0.001
2,1.282339,0.436468,1.528708,0.321041,0.263481,0.001
3,1.094371,0.562814,1.111018,0.457701,0.545772,0.001
4,1.035137,0.561378,4.920261,0.069414,0.052905,0.001
5,0.959636,0.582197,1.108051,0.555315,0.557241,0.001
6,0.878317,0.596554,1.799655,0.299349,0.367432,0.001
7,0.799914,0.631012,1.277209,0.392625,0.483121,0.001
8,0.804948,0.642498,4.716768,0.145336,0.152746,0.0005
9,0.689364,0.681981,0.738839,0.722343,0.722061,0.0005
10,0.64728,0.691314,0.619171,0.809111,0.79311,0.0005
11,0.611068,0.709978,0.587879,0.81128,0.802171,0.0005
12,0.575868,0.713568,0.57516,0.800434,0.834487,0.0005
13,0.517775,0.728643,0.657644,0.72885,0.752867,0.0005
14,0.495789,0.744436,0.505355,0.819957,0.843518,0.0005
15,0.460826,0.753051,0.532203,0.789588,0.835296,0.0005
16,0.436734,0.755922,0.581492,0.754881,0.811732,0.0005
17,0.39998,0.786073,1.12499,0.574837,0.5868,0.00025
18,0.357901,0.802584,0.407133,0.867679,0.89013,0.00025
19,0.320227,0.809045,0.369548,0.876356,0.87696,0.00025
20,0.295363,0.833453,0.361554,0.869848,0.899541,0.00025
