epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,learning_rate
1,1.718203,0.234745,1.458357,0.481562,0.252794,0.001
2,1.407333,0.428571,1.306836,0.388286,0.294892,0.001
3,1.257816,0.495334,1.042678,0.635575,0.383644,0.001
4,0.972226,0.603015,0.871523,0.633406,0.567246,0.001
5,0.762487,0.653984,0.862548,0.661605,0.67497,0.001
6,0.53408,0.723618,0.726458,0.73102,0.757309,0.001
7,0.492902,0.727925,0.35905,0.859002,0.87507,0.001
8,0.289055,0.84135,0.401533,0.830803,0.881381,0.001
9,0.256168,0.83776,0.413439,0.813449,0.83002,0.001
10,0.251358,0.844939,0.314046,0.872017,0.893889,0.001
11,0.20518,0.870782,0.180249,0.921909,0.943845,0.001
12,0.147707,0.913855,0.135536,0.941432,0.957477,0.001
13,0.112694,0.940416,0.082309,0.965293,0.974696,0.001
14,0.0853,0.959799,0.129001,0.952278,0.96673,0.001
15,0.080459,0.959799,0.161977,0.950108,0.943345,0.001
16,0.127278,0.925341,0.081889,0.969631,0.979029,0.001
17,0.041213,0.981335,0.153434,0.921909,0.940645,0.001
18,0.09153,0.951902,0.269778,0.885033,0.896527,0.001
19,0.08375,0.958363,0.094409,0.960954,0.972855,0.0005
20,0.049738,0.977746,0.031411,0.984816,0.988115,0.0005
