epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,learning_rate
1,0.622818,0.72649,0.92959,0.696312,0.787468,0.001
2,0.267036,0.877243,0.52242,0.813449,0.816313,0.001
3,0.136733,0.937545,0.321991,0.878525,0.886107,0.001
4,0.173495,0.938981,0.608461,0.748373,0.765002,0.001
5,0.163864,0.921034,0.334925,0.859002,0.883858,0.001
6,0.079138,0.956927,0.076172,0.969631,0.975676,0.001
7,0.031626,0.985642,0.053201,0.980477,0.988117,0.001
8,0.038256,0.982771,0.076311,0.965293,0.973337,0.001
9,0.016041,0.994257,0.091262,0.9718,0.982731,0.001
10,0.117633,0.96267,1.821577,0.631236,0.690631,0.0005
11,0.095506,0.960517,0.05141,0.982646,0.988446,0.0005
12,0.021023,0.98995,0.038058,0.980477,0.987086,0.0005
13,0.014395,0.995693,0.06009,0.97397,0.983876,0.0005
14,0.007007,0.999282,0.044361,0.982646,0.988936,0.0005
15,0.012487,0.995693,0.061285,0.980477,0.987158,0.00025
16,0.003043,0.999282,0.03954,0.984816,0.989763,0.00025
17,0.002223,0.999282,0.038872,0.986985,0.991896,0.00025
18,0.001916,0.999282,0.042421,0.980477,0.986825,0.000125
19,0.001781,1.0,0.036165,0.991323,0.994447,0.000125
20,0.001038,1.0,0.039538,0.984816,0.990202,0.000125
