epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,learning_rate
1,0.766275,0.738693,0.380855,0.850325,0.868128,0.001
2,0.175422,0.913137,0.550378,0.822126,0.864394,0.001
3,0.179506,0.931084,0.171588,0.937093,0.947846,0.001
4,0.093277,0.949031,0.153223,0.952278,0.964392,0.001
5,0.081684,0.961953,0.115408,0.950108,0.962069,0.001
6,0.025587,0.988514,0.108424,0.969631,0.978454,0.001
7,0.029204,0.987796,0.157336,0.954447,0.963816,0.001
8,0.04784,0.977746,0.351565,0.887202,0.899463,0.001
9,0.069745,0.967696,0.096785,0.952278,0.961791,0.001
10,0.026358,0.98636,0.104166,0.97397,0.983722,0.001
11,0.01614,0.992821,0.086567,0.9718,0.980157,0.001
12,0.0387,0.983489,0.234976,0.932755,0.944723,0.001
13,0.151991,0.945441,0.497757,0.817787,0.808217,0.001
14,0.178598,0.935391,0.161601,0.956616,0.952442,0.0005
15,0.03783,0.979899,0.046163,0.982646,0.987684,0.0005
16,0.013291,0.996411,0.034794,0.986985,0.991322,0.0005
17,0.007781,0.998564,0.030414,0.989154,0.992667,0.0005
18,0.007687,0.997128,0.030843,0.984816,0.990074,0.0005
19,0.005009,0.997846,0.031779,0.980477,0.987533,0.0005
20,0.005266,0.997846,0.047509,0.982646,0.989637,0.00025
