epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,learning_rate
1,1.011114,0.684135,0.612619,0.809111,0.796257,0.001
2,0.461944,0.854989,0.249517,0.895879,0.91187,0.001
3,0.217922,0.913855,0.474886,0.848156,0.876559,0.001
4,0.138605,0.950467,0.47254,0.854664,0.867651,0.001
5,0.128958,0.955492,1.183156,0.70282,0.815409,0.0005
6,0.083228,0.969131,0.042669,0.982646,0.989524,0.0005
7,0.018385,0.996411,0.023513,0.986985,0.990692,0.0005
8,0.009982,0.997846,0.016329,0.995662,0.997409,0.0005
9,0.012144,0.995693,0.018427,0.993492,0.996124,0.0005
10,0.008627,0.999282,0.026491,0.986985,0.992228,0.0005
11,0.010626,0.998564,0.02542,0.986985,0.991326,0.00025
12,0.004725,0.997846,0.018552,0.993492,0.996124,0.00025
13,0.002012,1.0,0.01499,0.995662,0.997409,0.00025
14,0.00187,1.0,0.016893,0.993492,0.995744,0.00025
15,0.001854,1.0,0.012685,0.993492,0.995744,0.00025
16,0.002981,1.0,0.015704,0.991323,0.994457,0.00025
17,0.001415,1.0,0.015474,0.995662,0.997038,0.00025
18,0.001282,1.0,0.017302,0.991323,0.994457,0.000125
19,0.000974,1.0,0.014873,0.995662,0.997038,0.000125
20,0.000805,1.0,0.015964,0.995662,0.997038,0.000125
