epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,learning_rate
1,0.650766,0.730079,0.609439,0.791757,0.799812,0.001
2,0.248005,0.892319,0.148506,0.943601,0.955999,0.001
3,0.074367,0.957645,0.10108,0.958785,0.967407,0.001
4,0.085445,0.960517,0.209814,0.913232,0.939219,0.001
5,0.072902,0.969131,0.121276,0.947939,0.954422,0.001
6,0.05661,0.977028,0.08879,0.969631,0.975088,0.001
7,0.053912,0.97631,1.00319,0.741866,0.841351,0.001
8,0.061215,0.967696,0.158748,0.943601,0.962041,0.001
9,0.063836,0.969849,0.270098,0.91974,0.928608,0.0005
10,0.028672,0.990668,0.034732,0.984816,0.991048,0.0005
11,0.007098,0.996411,0.025828,0.984816,0.990908,0.0005
12,0.003273,0.998564,0.023094,0.991323,0.994818,0.0005
13,0.003385,0.998564,0.024885,0.986985,0.992228,0.0005
14,0.002032,0.999282,0.025784,0.986985,0.992228,0.0005
15,0.001309,1.0,0.031535,0.984816,0.990908,0.00025
16,0.001582,0.999282,0.03125,0.982646,0.989524,0.00025
17,0.001042,1.0,0.024837,0.986985,0.992186,0.00025
18,0.001589,1.0,0.022723,0.989154,0.993506,0.00025
19,0.001146,1.0,0.023314,0.989154,0.993506,0.00025
20,0.001078,1.0,0.023642,0.986985,0.992186,0.00025
