epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,learning_rate
1,1.84419,0.30079,1.340305,0.442516,0.320507,0.0001
2,1.34534,0.43575,1.095244,0.555315,0.447015,0.0001
3,1.058385,0.542714,0.912981,0.639913,0.601447,0.0001
4,0.819784,0.633166,0.726587,0.733189,0.726278,0.0001
5,0.65313,0.697775,0.685006,0.765727,0.758581,0.0001
6,0.48084,0.770998,0.473616,0.817787,0.849035,0.0001
7,0.322871,0.843503,0.441428,0.813449,0.850514,0.0001
8,0.279089,0.856425,0.521398,0.785249,0.839795,0.0001
9,0.314196,0.855707,0.475834,0.819957,0.865075,0.0001
10,0.152977,0.909548,0.421789,0.845987,0.864601,0.0001
11,0.130283,0.931802,0.612927,0.741866,0.771349,0.0001
12,0.284945,0.880115,0.335848,0.882863,0.911669,0.0001
13,0.204738,0.912419,0.533435,0.81128,0.860902,0.0001
14,0.084576,0.95621,0.455371,0.830803,0.87558,0.0001
15,0.067195,0.96267,0.521782,0.861171,0.899642,5e-05
16,0.031582,0.984207,0.284818,0.906725,0.927345,5e-05
17,0.014558,0.992821,0.310928,0.898048,0.920708,5e-05
18,0.001292,1.0,0.293029,0.913232,0.92962,5e-05
19,0.001666,0.999282,0.313557,0.926247,0.939063,2.5e-05
20,0.005953,0.998564,0.274009,0.924078,0.939023,2.5e-05
21,0.000529,1.0,0.277586,0.926247,0.941461,2.5e-05
22,0.000357,1.0,0.28045,0.928416,0.944638,2.5e-05
23,0.000282,1.0,0.285614,0.926247,0.943317,1.25e-05
24,0.000223,1.0,0.286423,0.926247,0.943317,1.25e-05
25,0.000206,1.0,0.287336,0.926247,0.943317,1.25e-05
26,0.000194,1.0,0.289242,0.926247,0.943317,6.25e-06
27,0.000175,1.0,0.289927,0.926247,0.943317,6.25e-06
28,0.000166,1.0,0.29096,0.926247,0.943317,6.25e-06
29,0.000165,1.0,0.29211,0.926247,0.943317,3.13e-06
30,0.000159,1.0,0.292518,0.926247,0.943317,3.13e-06
