epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,learning_rate
1,1.095901,0.547739,0.492434,0.826464,0.850061,0.0001
2,0.193383,0.929648,0.213972,0.924078,0.94293,0.0001
3,0.049974,0.983489,0.148091,0.956616,0.964766,0.0001
4,0.026813,0.992821,0.116568,0.963124,0.969508,0.0001
5,0.013027,0.999282,0.131227,0.967462,0.972695,0.0001
6,0.009256,0.998564,0.142856,0.963124,0.967668,0.0001
7,0.006533,0.999282,0.127842,0.9718,0.974674,5e-05
8,0.005233,1.0,0.130124,0.9718,0.974272,5e-05
9,0.00437,1.0,0.125926,0.9718,0.974387,5e-05
10,0.003935,1.0,0.128225,0.967462,0.971899,2.5e-05
11,0.003547,1.0,0.124084,0.969631,0.973623,2.5e-05
12,0.003322,1.0,0.128272,0.969631,0.972955,2.5e-05
13,0.003314,1.0,0.127595,0.967462,0.971793,1.25e-05
14,0.003196,1.0,0.125792,0.969631,0.973139,1.25e-05
15,0.003084,1.0,0.124158,0.965293,0.969965,1.25e-05
16,0.002991,1.0,0.128115,0.965293,0.970469,6.25e-06
17,0.003033,1.0,0.12205,0.97397,0.97614,6.25e-06
18,0.002978,1.0,0.123501,0.9718,0.974358,6.25e-06
19,0.00295,1.0,0.129182,0.965293,0.970298,3.13e-06
20,0.003029,1.0,0.123929,0.9718,0.97489,3.13e-06
