epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,learning_rate
1,0.812805,0.659009,1.111315,0.611714,0.674646,0.001
2,0.492433,0.793252,0.466192,0.813449,0.84621,0.001
3,0.387088,0.833453,0.421881,0.830803,0.859719,0.001
4,0.287122,0.880833,1.856311,0.616052,0.480268,0.001
5,0.324751,0.843503,0.634462,0.759219,0.828483,0.001
6,0.169829,0.935391,0.313796,0.913232,0.925946,0.001
7,0.160189,0.937545,0.27272,0.928416,0.945019,0.001
8,0.149367,0.944724,0.476975,0.854664,0.866653,0.001
9,0.132732,0.933955,0.133785,0.954447,0.963542,0.001
10,0.162504,0.929648,2.820067,0.520607,0.303682,0.001
11,0.402731,0.828428,0.217791,0.930586,0.932717,0.001
12,0.231155,0.89878,0.211889,0.934924,0.931787,0.0005
13,0.10709,0.959799,0.083286,0.969631,0.979795,0.0005
14,0.03712,0.984207,0.041971,0.980477,0.98723,0.0005
15,0.028948,0.987078,0.057142,0.976139,0.98415,0.0005
16,0.035288,0.988514,0.048214,0.978308,0.984508,0.0005
17,0.024676,0.989232,0.037105,0.982646,0.988189,0.0005
18,0.025817,0.98636,0.076144,0.965293,0.976185,0.0005
19,0.021054,0.991385,0.096596,0.969631,0.977817,0.0005
20,0.011067,0.994975,0.08874,0.97397,0.982332,0.00025
